monumentna,,state,lat,long,coordinate,asicircle,district
Temples,,Madhya Pradesh,22.10570786,80.55676912,"22.10570786,22.2131",Bhopal,Balaghat
Fort,,Madhya Pradesh,22.2131,80.78281667,"22.2131,21.500425",Bhopal,Balaghat
Old Fort,,Madhya Pradesh,21.500425,80.54396389,"21.500425,22.16381111",Bhopal,Balaghat
An old temple at Piparwara forest village,,Madhya Pradesh,22.16381111,81.00332222,"22.16381111,21.51088345",Bhopal,Balaghat
Temple of Kotesvara (Mahadeo and Hanuman),,Madhya Pradesh,21.51088345,80.55361799,"21.51088345,22.30498179",Bhopal,Balaghat
The old fortress called Sada Bhada,,Madhya Pradesh,22.30498179,80.1443956,"22.30498179,26.74827778",Bhopal,Balaghat
Fort,,Madhya Pradesh,26.74827778,78.63686389,"26.74827778,23.25104497",Bhopal,Bhind
Kamlapati Mahal and adjoining area,,Madhya Pradesh,23.25104497,77.39791118,"23.25104497,21.32789167",Bhopal,Bhopal
Dome of Shah Nawaz Khan,,Madhya Pradesh,21.32789167,76.243325,"21.32789167,21.32004119",Bhopal,Burhanpur
Dome of Adil Shah Faruki,,Madhya Pradesh,21.32004119,76.24732787,"21.32004119,21.32239365",Bhopal,Burhanpur
Tomb of Shah Shuja,,Madhya Pradesh,21.32239365,76.24359501,"21.32239365,21.32012625",Bhopal,Burhanpur
Tomb of Nadir Shah & compound,,Madhya Pradesh,21.32012625,76.2476433,"21.32012625,21.26267257",Bhopal,Burhanpur
Raja's Chhatri near Bordha Ghat at Burhanpur,,Madhya Pradesh,21.26267257,76.21307433,"21.26267257,21.31572283",Bhopal,Burhanpur
Bibi Sahib's Masjid,,Madhya Pradesh,21.31572283,76.2372152,"21.31572283,21.30778157",Bhopal,Burhanpur
The palace situated in the fort,,Madhya Pradesh,21.30778157,76.23688145,"21.30778157,21.31092269",Bhopal,Burhanpur
Hammam Khana,,Madhya Pradesh,21.31092269,76.23342081,"21.31092269,21.47029722",Bhopal,Burhanpur
The whole fort  Sat Darwaza,,Madhya Pradesh,21.47029722,76.29411389,"21.47029722,21.46975996",Bhopal,Burhanpur
Mahadeo Temple,,Madhya Pradesh,21.46975996,76.27989548,"21.46975996,21.4826389",Bhopal,Burhanpur
"Idgah, front wall with open platform",,Madhya Pradesh,21.4826389,76.29064966,"21.4826389,21.33111953",Bhopal,Burhanpur
Mahal Gurara palaces,,Madhya Pradesh,21.33111953,76.34507341,"21.33111953,21.30911111",Bhopal,Burhanpur
Ahukhana site,,Madhya Pradesh,21.30911111,76.24665556,"21.30911111,24.84968907",Bhopal,Burhanpur
Chausath Yogini Temple,,Madhya Pradesh,24.84968907,79.91820381,"24.84968907,24.85432222",Bhopal,Chhatarpur
"Chitragupta or Bharatji""sTemple",,Madhya Pradesh,24.85432222,79.92019444,"24.85432222,24.85599722",Bhopal,Chhatarpur
Chopra or Square Tank,,Madhya Pradesh,24.85599722,79.91949722,"24.85599722,24.85330846",Bhopal,Chhatarpur
Devi Jagadambi Temple,,Madhya Pradesh,24.85330846,79.91978102,"24.85330846,24.85290071",Bhopal,Chhatarpur
Kandariya Temple,,Madhya Pradesh,24.85290071,79.91968726,"24.85290071,24.85216833",Bhopal,Chhatarpur
Lakshman Temple,,Madhya Pradesh,24.85216833,79.92179605,"24.85216833,24.85080556",Bhopal,Chhatarpur
Lalguan Mahadeva Temple,,Madhya Pradesh,24.85080556,79.91126667,"24.85080556,24.85311934",Bhopal,Chhatarpur
Mahadeva Temple,,Madhya Pradesh,24.85311934,79.91981238,"24.85311934,24.85193047",Bhopal,Chhatarpur
Matangesvara Temple,,Madhya Pradesh,24.85193047,79.92171561,"24.85193047,24.85333056",Bhopal,Chhatarpur
Nandi Temple,,Madhya Pradesh,24.85333056,79.92274444,"24.85333056,24.85321667",Bhopal,Chhatarpur
Parvati Temple,,Madhya Pradesh,24.85321667,79.92198889,"24.85321667,24.85205767",Bhopal,Chhatarpur
Varaha Temple,,Madhya Pradesh,24.85205767,79.92228136,"24.85205767,24.85341667",Bhopal,Chhatarpur
Visvanatha Temple,,Madhya Pradesh,24.85341667,79.92235556,"24.85341667,24.84507046",Bhopal,Chhatarpur
Adinatha Temple,,Madhya Pradesh,24.84507046,79.9366736,"24.84507046,24.8491421",Bhopal,Chhatarpur
Brahma Temple,,Madhya Pradesh,24.8491421,79.93281136,"24.8491421,24.8500005",Bhopal,Chhatarpur
Colossal statue of Shri Hanuman,,Madhya Pradesh,24.8500005,79.92871364,"24.8500005,24.84606944",Bhopal,Chhatarpur
Ghantai Temple,,Madhya Pradesh,24.84606944,79.93332778,"24.84606944,24.8535",Bhopal,Chhatarpur
Kakra Math,,Madhya Pradesh,24.8535,79.94778056,"24.8535,24.84479057",Bhopal,Chhatarpur
Parsvanatha Temple,,Madhya Pradesh,24.84479057,79.93661445,"24.84479057,24.84452636",Bhopal,Chhatarpur
Santhinatha Temple,,Madhya Pradesh,24.84452636,79.93644839,"24.84452636,24.85141599",Bhopal,Chhatarpur
Vamana Temple,,Madhya Pradesh,24.85141599,79.93509484,"24.85141599,24.84938735",Bhopal,Chhatarpur
Javari Temple,,Madhya Pradesh,24.84938735,79.93536524,"24.84938735,24.8389064",Bhopal,Chhatarpur
Duladeo Temple,,Madhya Pradesh,24.8389064,79.93180243,"24.8389064,24.8251",Bhopal,Chhatarpur
Jatakari or Chatrubhuj Temple,,Madhya Pradesh,24.8251,79.93101667,"24.8251,24.98976389",Bhopal,Chhatarpur
Inscription in the fort of Bachhaun,,Madhya Pradesh,24.98976389,80.09898056,"24.98976389,24.82925863",Bhopal,Chhatarpur
Bijamandal mound,,Madhya Pradesh,24.82925863,79.93454836,"24.82925863,21.8830079",Bhopal,Chhatarpur
Gond Fort,,Madhya Pradesh,21.8830079,78.73278761,"21.8830079,23.6715112",Bhopal,Chhindwara
Nohta Temple,,Madhya Pradesh,23.6715112,79.58137479,"23.6715112,24.12962051",Bhopal,Damoh
Rangmahal Palace,,Madhya Pradesh,24.12962051,79.59513018,"24.12962051,24.22877243",Bhopal,Damoh
Jatashankar Fort,,Madhya Pradesh,24.22877243,79.55931809,"24.22877243,23.33039444",Bhopal,Damoh
Old Temple,,Madhya Pradesh,23.33039444,79.38523056,"23.33039444,23.53675556",Bhopal,Damoh
A hill Fort,,Madhya Pradesh,23.53675556,79.74962778,"23.53675556,23.98478889",Bhopal,Damoh
Two flat roofed temples below the hills,,Madhya Pradesh,23.98478889,79.72220833,"23.98478889,23.98059167",Bhopal,Damoh
Jain temples on the hills,,Madhya Pradesh,23.98059167,79.72411944,"23.98059167,25.67096389",Bhopal,Damoh
Bir Singh Palace,,Madhya Pradesh,25.67096389,78.45102778,"25.67096389,22.49312778",Bhopal,Datia
Sidheshwar Temple,,Madhya Pradesh,22.49312778,76.97790556,"22.49312778,22.49427365",Bhopal,Dewas
Unfinished Temple,,Madhya Pradesh,22.49427365,76.97765271,"22.49427365,22.36290286",Bhopal,Dewas
Alamgir Gate,,Madhya Pradesh,22.36290286,75.39312444,"22.36290286,28.59272131",Bhopal,Dhar
The Afsah-wala-ki-Masjid situated outside the west gate of Humayun's tomb with its dalans and paved court.,,Delhi,28.59272131,77.24786008,"28.59272131,28.5925811",Delhi Circle,South East
The Tomb of Afsah-wala immediately near and to the south of Afsah-wala-ki-Masjid,,Delhi,28.5925811,77.24791612,"28.5925811,28.5921972",Delhi Circle,South East
"The tomb of Isa Khan with its surrounding enclosure walls and turret, garden, gateways and mosque.",,Delhi,28.5921972,77.24620423,"28.5921972,28.59298868",Delhi Circle,South East
The Gate way of Arab Sarai facing North towards Purana Qila,,Delhi,28.59298868,77.24735475,"28.59298868,28.59120318",Delhi Circle,South East
The Gate way of Arab Sarai facing East towards the tomb of Humayun,,Delhi,28.59120318,77.24889309,"28.59120318,28.59190303",Delhi Circle,South East
Baoli,,Delhi,28.59190303,77.2419476,"28.59190303,28.59048255",Delhi Circle,South East
Arab Sarai,,Delhi,28.59048255,77.24666305,"28.59048255,28.59187775",Delhi Circle,South East
Nila Gumbaz outside the south corner of the enclosure of Humayun's tomb.,,Delhi,28.59187775,77.25309202,"28.59187775,28.59371172",Delhi Circle,South East
Remainig Gateways of Arab Sarai and of Abadi-Bagh-Buhalima,,Delhi,28.59371172,77.2467519,"28.59371172,28.59116066",Delhi Circle,South East
The Chausath Khamba and tomb of Mirza Aziz Kokaltash,,Delhi,28.59116066,77.2429644,"28.59116066,28.57301408",Delhi Circle,South East
"Tomb of Chote Khan, Mubarakpur, Kotla",,Delhi,28.57301408,77.22052298,"28.57301408,28.57307295",Delhi Circle,South
"Tomb of Bade-Khan, Mubarakpur Kotla, Kotla",,Delhi,28.57307295,77.22012501,"28.57307295,28.56593374",Delhi Circle,South
"Tin Burji Wala Gumbad, Mohammad Pur Village",,Delhi,28.56593374,77.18840088,"28.56593374,28.56279208",Delhi Circle,South
"Wazir Pur-ki-Gumbad, Munirka 312",,Delhi,28.56279208,77.1749887,"28.56279208,28.56272099",Delhi Circle,South
"Unnamed Tomb, Munirka 317",,Delhi,28.56272099,77.17532327,"28.56272099,28.56268889",Delhi Circle,South
"Unnamed Tomb, Munirka 316",,Delhi,28.56268889,77.17520475,"28.56268889,28.56266719",Delhi Circle,South
"Unnamed Tomb, Munirka 315",,Delhi,28.56266719,77.17511355,"28.56266719,28.56275103",Delhi Circle,South
"Unnamed Tomb, Munirka, 314",,Delhi,28.56275103,77.17483034,"28.56275103,28.54071909",Delhi Circle,South
"Bijay Mandal, neighbouring domes, buildings and dalan to north of Begumpur",,Delhi,28.54071909,77.20606216,"28.54071909,28.56248501",Delhi Circle,South
Moth-ki-Masjid,,Delhi,28.56248501,77.21800143,"28.56248501,28.50909242",Delhi Circle,South
"Tomb of Ghiyasuddin Tughlakabad. walls and bastions, gates and cause way including the tomb of Daud Khan",,Delhi,28.50909242,77.26154117,"28.50909242,28.51473296",Delhi Circle,South East
Mandi Mosque,,Delhi,28.51473296,77.18474913,"28.51473296,28.53134696",Delhi Circle,South
Khirkee Masjid,,Delhi,28.53134696,77.21971113,"28.53134696,28.53874067",Delhi Circle,South
Tomb of Bahlol Lodi,,Delhi,28.53874067,77.22656005,"28.53874067,28.54009716",Delhi Circle,South
Tomb of Sheikh Kaburuddin also known as Rakabwala Gumbad in field no.84 min. situated at sarai Shah 31 property of Toks Shahpur and Adhchini,,Delhi,28.54009716,77.2136494,"28.54009716,28.5470413",Delhi Circle,South
Thana wala Shahpur jat,,Delhi,28.5470413,77.20841731,"28.5470413,28.54902993",Delhi Circle,South
Makhdum ki Kh No. 255 Shahpur Jat,,Delhi,28.54902993,77.21169968,"28.54902993,28.55275332",Delhi Circle,South
Bara Khamba-285,,Delhi,28.55275332,77.20222373,"28.55275332,28.55338882",Delhi Circle,South
Bandi or Poti ka Gumbad III-280,,Delhi,28.55338882,77.2038201,"28.55338882,28.55353088",Delhi Circle,South
Nili Mosque,,Delhi,28.55353088,77.20703429,"28.55353088,28.55549776",Delhi Circle,South
Biran-Ka-Gumbad-282,,Delhi,28.55549776,77.20286582,"28.55549776,28.65466187",Delhi Circle,South
"Delhi fort or Lal Qila, Naubat Khana, Diwan-i-am, Mumtaz Mahal' Rang Mahal, Baithak,Musaman Burj, diwan-i-Khas' Moti Masjid, Sawan Bhadon ,Shah Burj, Hammam with all surrounding including the gardens, paths, terraces and water courses.",,Delhi,28.65466187,77.2412627,"28.65466187,28.57231055",Delhi Circle,North
Tomb of Bhura Khan,,Delhi,28.57231055,77.22077894,"28.57231055,28.54588802",Delhi Circle,South
"Lal Gumbad, Chirag Delhi",,Delhi,28.54588802,77.22629638,"28.54588802,28.57011284",Delhi Circle,South
Kala Gumbad,,Delhi,28.57011284,77.21893049,"28.57011284,28.55449549",Delhi Circle,South
Internal buildings of Siri Mohammadi wali-Kh. No. 14 Shahpur Jat Makhdum ki Kh. No. 255 Shahpur Jat Thana wala Shahpur Jat,,Delhi,28.55449549,77.21583886,"28.55449549,28.55339721",Delhi Circle,South
Biwi or Dadi-ka-Gumbad-281,,Delhi,28.55339721,77.20354537,"28.55339721,28.51908037",Delhi Circle,South
Old Palace of Bahadur Shah II alias Lal Mahal in Mehrauli,,Delhi,28.51908037,77.17993657,"28.51908037,28.51964535",Delhi Circle,South
Tomb and Mosque of Maulana Jamali Kamali,,Delhi,28.51964535,77.18717957,"28.51964535,28.54860486",Delhi Circle,South
Idgah of Kharehra,,Delhi,28.54860486,77.20530163,"28.54860486,28.53951715",Delhi Circle,South
Begumpuri Masjid,,Delhi,28.53951715,77.20655697,"28.53951715,28.52162947",Delhi Circle,South
Unknown tomb said to be of Azim Khan,,Delhi,28.52162947,77.19047143,"28.52162947,28.55610475",Delhi Circle,South
Bagh-i-Alam Gumbad with a Mosque,,Delhi,28.55610475,77.19840832,"28.55610475,28.55674098",Delhi Circle,South
Kali Gumti,,Delhi,28.55674098,77.19820214,"28.55674098,28.55321397",Delhi Circle,South
Choti Gumti,,Delhi,28.55321397,77.20190168,"28.55321397,28.51428128",Delhi Circle,South
Jahaz Mahal in Mehrauli,,Delhi,28.51428128,77.17851885,"28.51428128,28.52453689",Delhi Circle,South
"The Qutab Archaeological area as now fenced in, including the Mosque, Iron Pillar, Minar of Qutbud-din, unfinished Minar, all colonnades, screen arches, tomb of Altamash, college, buildings of Alaud-Din, Tomb of Imam zamin and all carved stones in the ab",,Delhi,28.52453689,77.18586826,"28.52453689,28.51658228",Delhi Circle,South
Wall mosque at Mehrauli,,Delhi,28.51658228,77.17865042,"28.51658228,28.59249567",Delhi Circle,South
Bara Khamba outside north entrance to shrine,,Delhi,28.59249567,77.24251031,"28.59249567,28.5669707",Delhi Circle,South East
Mound known as Joga Bai,,Delhi,28.5669707,77.28059746,"28.5669707,28.52743163",Delhi Circle,South East
Wall of Rai Pithora's Fort and Jahan panah at the point where they meet together,,Delhi,28.52743163,77.20242211,"28.52743163,28.58828593",Delhi Circle,South
Ancient Mosque (Babur’s Period) together with adjacent area comprised in part of Survey plot No. 177,,Delhi,28.58828593,77.07939683,"28.58828593,28.53930449",Delhi Circle,South West
Group of monuments at Sarai Shahji,,Delhi,28.53930449,77.21061201,"28.53930449,28.51648658",Delhi Circle,South
Walls of old City of Tughlakabad.,,Delhi,28.51648658,77.2677251,"28.51648658,28.51461434",Delhi Circle,South East
"Walls, gateways bastions and internal buildings of both inner and outer citadels of Tughlakabad Fort",,Delhi,28.51461434,77.25997129,"28.51461434,28.52472801",Delhi Circle,South East
"Iron Pillar, Hindu remains",,Delhi,28.52472801,77.18497861,"28.52472801,28.58407366",Delhi Circle,South
Bara Pulah bridge near Nizammudin,,Delhi,28.58407366,77.25334329,"28.58407366,28.51370101",Delhi Circle,South East
"Hauz Shamsi, with central red stone pavilion situated at Mehrauli in field Nos. 1574-81, 1588-97, 1614, 1623 & 1624, owner Government",,Delhi,28.51370101,77.17751181,"28.51370101,28.54768705",Delhi Circle,South
Chor Minar No. 289 Vol III,,Delhi,28.54768705,77.20569429,"28.54768705,28.56235417",Delhi Circle,South
"Baoli, Munirka",,Delhi,28.56235417,77.17499542,"28.56235417,28.56118756",Delhi Circle,South
"Munda Gumbad, Munirka",,Delhi,28.56118756,77.17887092,"28.56118756,28.56271303",Delhi Circle,South
"Unnamed Tomb, Munirka, 313",,Delhi,28.56271303,77.1747706,"28.56271303,28.53343923",Delhi Circle,South
Tomb of Sultan Ghari,,Delhi,28.53343923,77.13702442,"28.53343923,28.55316678",Delhi Circle,South
"Hauz Khas:- Group of Building at Hauz Khas consisting of the following i. The tomb of Ferozshah ii. Domed Building to the west of No.1 iii. Dalan between 1&2 iv. Domed Building & its court to the south of No. 3, v. Dalans and all Ruined Buildings to the",,Delhi,28.55316678,77.19379859,"28.55316678,28.51899386",Delhi Circle,South
Area between Balban Khan's Tomb & Jamali Kamali,,Delhi,28.51899386,77.18835029,"28.51899386,28.50426432",Delhi Circle,South
Nai-ka-kot in Tughlaqabad,,Delhi,28.50426432,77.27590983,"28.50426432,28.53393101",Delhi Circle,South East
Tomb of Usuf-Quttal situated at Khirki,,Delhi,28.53393101,77.21911465,"28.53393101,28.5230807",Delhi Circle,South
Tomb of Adham Khan (Rest House),,Delhi,28.5230807,77.1819761,"28.5230807,28.5202648",Delhi Circle,South
Rajon-ki-Bain with Mosque and Chatri,,Delhi,28.5202648,77.18344515,"28.5202648,28.55857573",Delhi Circle,South
Ashokan Rock Edict at Bahapur,,Delhi,28.55857573,77.25666767,"28.55857573,28.59115339",Delhi Circle,South East
Tomb of Amir Khusro,,Delhi,28.59115339,77.2420429,"28.59115339,28.59124879",Delhi Circle,South East
The Grave of Mirza Jahangir,,Delhi,28.59124879,77.24212005,"28.59124879,28.59122289",Delhi Circle,South East
The Grave of Muhammad Shah,,Delhi,28.59122289,77.2420128,"28.59122289,28.59121792",Delhi Circle,South East
The Grave of Jahanara Begum,,Delhi,28.59121792,77.24194843,"28.59121792,28.59137149",Delhi Circle,South East
Tomb of Nizamuddin Olia,,Delhi,28.59137149,77.24199093,"28.59137149,28.59144436",Delhi Circle,South East
Mazar of Mirza Ghalib,,Delhi,28.59144436,77.24295826,"28.59144436,28.59154827",Delhi Circle,South East
Tomb of Tagah or Atgah Khan,,Delhi,28.59154827,77.2422301,"28.59154827,28.59308604",Delhi Circle,South East
"The Nila Chhatri or Subaz Burj, once used as a Police Station at Nizam-ud-Din.",,Delhi,28.59308604,77.243706,"28.59308604,28.51892051",Delhi Circle,South East
"Enclosure containing the tomb of Shah Alam Bahadur Shah, Shah Alam II and Akbar Shah II",,Delhi,28.51892051,77.1801556,"28.51892051,28.5192118",Delhi Circle,South
Moti Masjid,,Delhi,28.5192118,77.18016905,"28.5192118,28.55732014",Delhi Circle,South
Tohfewala Gumbad,,Delhi,28.55732014,77.19901943,"28.55732014,28.50928657",Delhi Circle,South
Tomb of Mohammad Tughlak Shah at Tughlakabad,,Delhi,28.50928657,77.26129429,"28.50928657,28.58088895",Delhi Circle,South East
Enclosure wall with enclosure of the Tomb of Najaf  Khan,,Delhi,28.58088895,77.21356925,"28.58088895,28.65685369",Delhi Mini Circle,South
"Fortification Wall Asad Burj, Water gate, Delhi Gate, Lahori Gate, Jahangiri Gate, Chhattra Bazar, Baoli",,Delhi,28.65685369,77.2392864,"28.65685369,28.52092474",Delhi Circle,Central
"Old Baoli known as Diving well in Mauza, Mehrauli",,Delhi,28.52092474,77.18164011,"28.52092474,15.50086809",Delhi Circle,South
Basilica of Bom Jesus,,Goa,15.50086809,73.91159057,"15.50086809,15.50376859",Goa Circle,Goa
Se' Cathedral,,Goa,15.50376859,73.91228972,"15.50376859,15.50547773",Goa Circle,Goa
church of St. Cajetan,,Goa,15.50547773,73.91543458,"15.50547773,15.50316925",Goa Circle,Goa
Church and Convent of St.Francis of Assisi,,Goa,15.50316925,73.91137857,"15.50316925,15.50174317",Goa Circle,Goa
Church of our Lady of Rosary,,Goa,15.50174317,73.90494564,"15.50174317,15.50348079",Goa Circle,Goa
Chapel of St.Catherine,,Goa,15.50348079,73.91047338,"15.50348079,15.5001719",Goa Circle,Goa
Church of St.Augustine,,Goa,15.5001719,73.90649119,"15.5001719,15.49919447",Goa Circle,Goa
Portal Remains of St.Paul's College,,Goa,15.49919447,73.91850581,"15.49919447,15.5060224",Goa Circle,Goa
Arch of Viceroy,,Goa,15.5060224,73.91371009,"15.5060224,15.50545055",Goa Circle,Goa
Arch of Adilshah's Palace,,Goa,15.50545055,73.91415961,"15.50545055,15.50077284",Goa Circle,Goa
Chapel of St. Francis of Xavier and connected buildings,,Goa,15.50077284,73.91175539,"15.50077284,15.50411127",Goa Circle,Goa
House of Bull,,Goa,15.50411127,73.91388572,"15.50411127,15.50125976",Goa Circle,Goa
Largo of St. Francis Xavier,,Goa,15.50125976,73.91190187,"15.50125976,15.50560345",Goa Circle,Goa
Largo of St. Cajetan together with other monuments,,Goa,15.50560345,73.91481854,"15.50560345,15.49224673",Goa Circle,Goa
Aguada Fortress (Upper),,Goa,15.49224673,73.77391891,"15.49224673,15.49832704",Goa Circle,Goa
Fortification wall of Aguada Fortress (Lower),,Goa,15.49832704,73.76665771,"15.49832704,15.40631598",Goa Circle,Goa
Safa Masjid,,Goa,15.40631598,74.00012001,"15.40631598,15.55253265",Goa Circle,Goa
Rock Cut Caves,,Goa,15.55253265,74.02297068,"15.55253265,15.43907158",Goa Circle,Goa
Mahadev Temple,,Goa,15.43907158,74.25255524,"15.43907158,15.20658443",Goa Circle,Goa
Mahadev Temple,,Goa,15.20658443,74.17598772,"15.20658443,15.25812207",Goa Circle,Goa
Excavated Site,,Goa,15.25812207,74.05485357,"15.25812207,23.024256",Goa Circle,Goa
"Three Gates besides Bhadrakali Temple, Bhadra",,Gujarat,23.024256,72.581361,"23.024256,23.024314",VADODARA CIRCLE,Ahmedabad
"Bhadra Tower beside Bhadrakali Temple, Bhadra",,Gujarat,23.024314,72.581281,"23.024314,23.027042",VADODARA CIRCLE,Ahmedabad
"Sidi Sayyid Mosque, Opp. Sardar Baugh",,Gujarat,23.027042,72.58105,"23.027042,23.0227",VADODARA CIRCLE,Ahmedabad
"Ahmed Shah¦s Mosque, Lal Darvaja",,Gujarat,23.0227,72.57895,"23.0227,23.024311",VADODARA CIRCLE,Ahmedabad
"Teen Darvaja Or Tripolia Gate, Bhadra",,Gujarat,23.024311,72.584558,"23.024311,23.023781",VADODARA CIRCLE,Ahmedabad
"Shah Kupai Masjid, Karian Khas Bazar",,Gujarat,23.023781,72.583258,"23.023781,23.023828",VADODARA CIRCLE,Ahmedabad
"Jami Masjid, Manek Chowk",,Gujarat,23.023828,72.586967,"23.023828,23.02377778",VADODARA CIRCLE,Ahmedabad
"Tombs of the Queens of Ahmed Shah, Manek Chowk",,Gujarat,23.02377778,72.58913889,"23.02377778,23.023811",VADODARA CIRCLE,Ahmedabad
"Ahemad Shah¦s Tomb, Manek Chowk",,Gujarat,23.023811,72.58795,"23.023811,23.025125",VADODARA CIRCLE,Ahmedabad
"Panch Kuwa Gate, Khadiya",,Gujarat,23.025125,72.597194,"23.025125,23.022897",VADODARA CIRCLE,Ahmedabad
"Queen¦s Mosque in Sarangpur,",,Gujarat,23.022897,72.595794,"23.022897,23.02288889",VADODARA CIRCLE,Ahmedabad
Tombs near Queen¦s Mosque in Sarangpur,,Gujarat,23.02288889,72.59619444,"23.02288889,23.027908",VADODARA CIRCLE,Ahmedabad
"BrickMinars, on Ahmedabad Railway Station",,Gujarat,23.027908,72.60105,"23.027908,23.023692",VADODARA CIRCLE,Ahmedabad
Sidi Basir¦s Minars & Tombs (Shaking),,Gujarat,23.023692,72.599939,"23.023692,23.037753",VADODARA CIRCLE,Ahmedabad
Delhi Gate Delhi Chakla,,Gujarat,23.037753,72.58795,"23.037753,23.035467",VADODARA CIRCLE,Ahmedabad
"Kutub Shah¦s Mosque, Delhi Chakla",,Gujarat,23.035467,72.587139,"23.035467,23.040925",VADODARA CIRCLE,Ahmedabad
"Dada Harir¦s Mosque & Tomb, Asarva",,Gujarat,23.040925,72.604992,"23.040925,23.040694",VADODARA CIRCLE,Ahmedabad
"Dada Harir¦s well, Asarva",,Gujarat,23.040694,72.605478,"23.040694,23.03080556",VADODARA CIRCLE,Ahmedabad
"Kalupur Gate, Near old Railway Station",,Gujarat,23.03080556,72.59791667,"23.03080556,23.02265",VADODARA CIRCLE,Ahmedabad
"Sarangpur Gate, Sarangpur",,Gujarat,23.02265,72.598081,"23.02265,23.037436",VADODARA CIRCLE,Ahmedabad
"Dariyapur Gate, Dariyapur",,Gujarat,23.037436,72.592964,"23.037436,23.035025",VADODARA CIRCLE,Ahmedabad
"Premabhai Gate, Near Vadigam",,Gujarat,23.035025,72.596906,"23.035025,23.044267",VADODARA CIRCLE,Ahmedabad
"Mata Bhawani¦s Well, Asarva",,Gujarat,23.044267,72.606811,"23.044267,23.047636",VADODARA CIRCLE,Ahmedabad
"Achyut Bibi¦s Masjid & Tomb, Dudheshwar",,Gujarat,23.047636,72.581233,"23.047636,23.052542",VADODARA CIRCLE,Ahmedabad
"Darya Khan¦s Tomb, Back of Dudheshwar",,Gujarat,23.052542,72.586753,"23.052542,23.03319444",VADODARA CIRCLE,Ahmedabad
"Muhafiz Khan¦s Mosque, Pitalia Bamba Ghee Kanta",,Gujarat,23.03319444,72.58805556,"23.03319444,23.031747",VADODARA CIRCLE,Ahmedabad
"Rani Rupavanti¦s Mosque, Mirzapur",,Gujarat,23.031747,72.583731,"23.031747,23.037603",VADODARA CIRCLE,Ahmedabad
Shahpur or Cazi Mohamed Shahpur,,Gujarat,23.037603,72.580425,"23.037603,23.047961",VADODARA CIRCLE,Ahmedabad
"Sayyid Usman¦s Mosque & Tomb, Usmanpura",,Gujarat,23.047961,72.569028,"23.047961,22.994411",VADODARA CIRCLE,Ahmedabad
"Shah Alam¦s Tomb with all surrounding buildings in the group, Shah Alam Darwaja",,Gujarat,22.994411,72.588875,"22.994411,23.010436",VADODARA CIRCLE,Ahmedabad
"Small Stone Mosque (Rani Masjid), Paldi Kocharab",,Gujarat,23.010436,72.565178,"23.010436,23.001953",VADODARA CIRCLE,Ahmedabad
"Rauza of Azam Khan Mauzzam Khan, Vasna",,Gujarat,23.001953,72.549808,"23.001953,23.017908",VADODARA CIRCLE,Ahmedabad
"Dastur Khan¦s Masjid, Asodia Chakla",,Gujarat,23.017908,72.589294,"23.017908,23.017311",VADODARA CIRCLE,Ahmedabad
"Rani Sipri¦s Mosque & Tomb, Astodia Gate",,Gujarat,23.017311,72.590306,"23.017311,23.016811",VADODARA CIRCLE,Ahmedabad
"Astodia Gate, Astodia",,Gujarat,23.016811,72.590964,"23.016811,23.000967",VADODARA CIRCLE,Ahmedabad
"Malik Alam¦s Mosque, Tol Naka, Dani Limda",,Gujarat,23.000967,72.586917,"23.000967,23.01745",VADODARA CIRCLE,Ahmedabad
"Raipur Gate, Raipur",,Gujarat,23.01745,72.594767,"23.01745,23.006228",VADODARA CIRCLE,Ahmedabad
"Inlet to Kankaria Tank, Kankaria",,Gujarat,23.006228,72.604047,"23.006228,23.014328",VADODARA CIRCLE,Ahmedabad
Bibiji¦s Masjid Rajpur/Hirapur,,Gujarat,23.014328,72.614242,"23.014328,23.012639",VADODARA CIRCLE,Ahmedabad
"Haibatkhan¦s Masjid, Jamalpur Gate",,Gujarat,23.012639,72.582297,"23.012639,23.008867",VADODARA CIRCLE,Ahmedabad
"Baba Lului¦s Masjid, Behrampur",,Gujarat,23.008867,72.575786,"23.008867,23.015561",VADODARA CIRCLE,Ahmedabad
"Nawab Sardar khan Mausjid and outer gate in Suvey No. 6814, Jamalpur",,Gujarat,23.015561,72.583761,"23.015561,23.015483",VADODARA CIRCLE,Ahmedabad
"Nawab Sardar Khan¦s Rouza with its compound bearing C.S. No. 6811, Jamalpur Gate",,Gujarat,23.015483,72.584222,"23.015483,23.004636",VADODARA CIRCLE,Ahmedabad
"Tomb of Mir Abu Turab, Back of Calico/Mill, Jamalpur",,Gujarat,23.004636,72.576622,"23.004636,22.97450848",VADODARA CIRCLE,Ahmedabad
Jethabhai¦s Stepwell,,Gujarat,22.97450848,72.60305013,"22.97450848,22.97480906",VADODARA CIRCLE,Ahmedabad
Small Stone  Masjid (Gumle Masjid),,Gujarat,22.97480906,72.60301093,"22.97480906,22.95644448",VADODARA CIRCLE,Ahmedabad
Tombs (Qutub vI-Alam),,Gujarat,22.95644448,72.61361113,"22.95644448,22.993422",VADODARA CIRCLE,Ahmedabad
Great Mosque,,Gujarat,22.993422,72.504708,"22.993422,22.99205",VADODARA CIRCLE,Ahmedabad
"Great Tank, Palace & Harem",,Gujarat,22.99205,72.504825,"22.99205,22.99323161",VADODARA CIRCLE,Ahmedabad
